Attendee,University,Country
Cezary Biele,Information Processing Institute,Poland
Peter Forbrig,University of Rostock,Germany
Sissel Guttormsen,University of Bern,Switzerland
Danijel Kor§inek,Polish-Japanese Academy of Information Technology,Poland
Agata Koˆakowska,Gdansk University of Technology,Poland
Agnieszka Landowska,Gdansk University of Technology,Poland
Masood Masoodian,Aalto University,  Finland,Finland
Jakub Miler,Gdansk University of Technology,Poland
Mohammad Obaid,Uppsala University,Sweden
Ewa Satalecka,Polish-Japanese Academy of Information Technology,Poland
Pavel Slavik,Czech Technical University,Czech Republic
Krzysztof Szklanny,Polish-Japanese Academy of Information Technology,Poland
Marcin Wichrowski,Polish-Japanese Academy of Information Technology,Poland
Alicja Wieczorkowska,Polish-Japanese Academy of Information Technology,Poland
Marco Winkler,Universit‚ Nice Sophia Antipolis,France
Adam Wojciechowski,Lodz Univ. of Technology,Poland
Krzysztof Woˆk,Polish-Japanese Academy of Information Technology,Poland
Juergen Ziegler,University of Duisburg-Essen,Germany
